"name","constant","operant","region","atlas_id"
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Superior_frontal_LS","DKT40  "
"eTIVc_X_GE",0.000365977574171192,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Superior_frontal_LS","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Superior_frontal_LS","DKT40  "
"eTIVc_X_PHILIPS",-0.00024574723363259,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Superior_frontal_LS","DKT40  "
"GE",-15.5020899909498,"GE * G_[modality_manuf_id]","Superior_frontal_LS","DKT40  "
"GE_X_MFSq",-265.594257722275,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_LS","DKT40  "
"Intercept",7956.65593987922,"Intercept","Superior_frontal_LS","DKT40  "
"MFSq",71.8509194327691,"MFSq * [magnetic_field_strength]","Superior_frontal_LS","DKT40  "
"Philips",-222.544084213011,"Philips * P_[modality_manuf_id]","Superior_frontal_LS","DKT40  "
"PHILIPS_X_MFSq",-114.755651709123,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_LS","DKT40  "
"RMSE",633.195072627701,"RMSE","Superior_frontal_LS","DKT40  "
"sexq",121.969840930067,"sexq * [gender]","Superior_frontal_LS","DKT40  "
"Volume",0,"[volume]","Superior_frontal_LS","DKT40  "
"agec1",-0.0037258811857172,"agec1 * agec","Superior_frontal_LT","DKT40  "
"agec2",5.84329534896257e-05,"agec2 * pow(agec, 2)","Superior_frontal_LT","DKT40  "
"agec3",-2.00762584828731e-06,"agec3 * pow(agec, 3)","Superior_frontal_LT","DKT40  "
"AGEc_X_SEXq",-0.000742130345552664,"AGEc_X_SEXq * agec * [gender]","Superior_frontal_LT","DKT40  "
"eTIVc1",-4.79290813298927e-08,"eTIVc1 * eTIVc","Superior_frontal_LT","DKT40  "
"eTIVc2",-2.12467123204573e-14,"eTIVc2 * pow(eTIVc, 2)","Superior_frontal_LT","DKT40  "
"eTIVc3",5.0141941856878e-19,"eTIVc3 * pow(eTIVc, 3)","Superior_frontal_LT","DKT40  "
"eTIVc_X_GE",1.33069464200476e-07,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Superior_frontal_LT","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Superior_frontal_LT","DKT40  "
"eTIVc_X_PHILIPS",2.05734932166238e-08,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Superior_frontal_LT","DKT40  "
"GE",-0.0367905323298314,"GE * G_[modality_manuf_id]","Superior_frontal_LT","DKT40  "
"GE_X_MFSq",0.0586580230651327,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_LT","DKT40  "
"Intercept",2.62354050852526,"Intercept","Superior_frontal_LT","DKT40  "
"MFSq",-0.0405506324897298,"MFSq * [magnetic_field_strength]","Superior_frontal_LT","DKT40  "
"Philips",-0.0382512378671494,"Philips * P_[modality_manuf_id]","Superior_frontal_LT","DKT40  "
"PHILIPS_X_MFSq",0.122221117212437,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_LT","DKT40  "
"RMSE",0.145960782404042,"RMSE","Superior_frontal_LT","DKT40  "
"sexq",-0.0484993862095377,"sexq * [gender]","Superior_frontal_LT","DKT40  "
"Volume",0,"[volume]","Superior_frontal_LT","DKT40  "
"agec1",-79.4458228410666,"agec1 * agec","Superior_frontal_LV","DKT40  "
"agec2",1.1075646616422,"agec2 * pow(agec, 2)","Superior_frontal_LV","DKT40  "
"agec3",-0.0209216387943263,"agec3 * pow(agec, 3)","Superior_frontal_LV","DKT40  "
"AGEc_X_SEXq",-11.8032340529399,"AGEc_X_SEXq * agec * [gender]","Superior_frontal_LV","DKT40  "
"eTIVc1",0.0109491048805253,"eTIVc1 * eTIVc","Superior_frontal_LV","DKT40  "
"eTIVc2",4.39072204504716e-09,"eTIVc2 * pow(eTIVc, 2)","Superior_frontal_LV","DKT40  "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Superior_frontal_LV","DKT40  "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Superior_frontal_LV","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Superior_frontal_LV","DKT40  "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Superior_frontal_LV","DKT40  "
"GE",-455.879528137864,"GE * G_[modality_manuf_id]","Superior_frontal_LV","DKT40  "
"GE_X_MFSq",-648.55951241461,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_LV","DKT40  "
"Intercept",23790.8663062431,"Intercept","Superior_frontal_LV","DKT40  "
"MFSq",31.0343065583771,"MFSq * [magnetic_field_strength]","Superior_frontal_LV","DKT40  "
"Philips",-1065.6065345356,"Philips * P_[modality_manuf_id]","Superior_frontal_LV","DKT40  "
"PHILIPS_X_MFSq",140.535951681317,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_LV","DKT40  "
"RMSE",1965.7375206268,"RMSE","Superior_frontal_LV","DKT40  "
"sexq",23.5885025447156,"sexq * [gender]","Superior_frontal_LV","DKT40  "
"Volume",0,"[volume]","Superior_frontal_LV","DKT40  "
"agec1",-14.7062572678956,"agec1 * agec","Superior_frontal_RS","DKT40  "
"agec2",-0.0939144807261407,"agec2 * pow(agec, 2)","Superior_frontal_RS","DKT40  "
"agec3",0,"agec3 * pow(agec, 3)","Superior_frontal_RS","DKT40  "
"AGEc_X_SEXq",-1.40302911781188,"AGEc_X_SEXq * agec * [gender]","Superior_frontal_RS","DKT40  "
"eTIVc1",0.00484589110587675,"eTIVc1 * eTIVc","Superior_frontal_RS","DKT40  "
"eTIVc2",1.2434468715196e-09,"eTIVc2 * pow(eTIVc, 2)","Superior_frontal_RS","DKT40  "
"eTIVc3",-2.20973804248682e-15,"eTIVc3 * pow(eTIVc, 3)","Superior_frontal_RS","DKT40  "
"eTIVc_X_GE",0.000260547026797351,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Superior_frontal_RS","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Superior_frontal_RS","DKT40  "
"eTIVc_X_PHILIPS",-0.000321185686789601,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Superior_frontal_RS","DKT40  "
"GE",-144.919402816884,"GE * G_[modality_manuf_id]","Superior_frontal_RS","DKT40  "
"GE_X_MFSq",-225.247105422431,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_RS","DKT40  "
"Intercept",9055.00262962632,"Intercept","Superior_frontal_RS","DKT40  "
"MFSq",62.6888592803439,"MFSq * [magnetic_field_strength]","Superior_frontal_RS","DKT40  "
"Philips",-199.047036255203,"Philips * P_[modality_manuf_id]","Superior_frontal_RS","DKT40  "
"PHILIPS_X_MFSq",-172.007287624445,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_RS","DKT40  "
"RMSE",722.758604237957,"RMSE","Superior_frontal_RS","DKT40  "
"sexq",149.873341184162,"sexq * [gender]","Superior_frontal_RS","DKT40  "
"Volume",0,"[volume]","Superior_frontal_RS","DKT40  "
"agec1",-0.00342375818395003,"agec1 * agec","Superior_frontal_RT","DKT40  "
"agec2",6.90863165569816e-05,"agec2 * pow(agec, 2)","Superior_frontal_RT","DKT40  "
"agec3",-2.08271035813433e-06,"agec3 * pow(agec, 3)","Superior_frontal_RT","DKT40  "
"AGEc_X_SEXq",-0.000842401756812493,"AGEc_X_SEXq * agec * [gender]","Superior_frontal_RT","DKT40  "
"eTIVc1",0,"eTIVc1 * eTIVc","Superior_frontal_RT","DKT40  "
"eTIVc2",0,"eTIVc2 * pow(eTIVc, 2)","Superior_frontal_RT","DKT40  "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Superior_frontal_RT","DKT40  "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Superior_frontal_RT","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Superior_frontal_RT","DKT40  "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Superior_frontal_RT","DKT40  "
"GE",0.00736200255943055,"GE * G_[modality_manuf_id]","Superior_frontal_RT","DKT40  "
"GE_X_MFSq",0.0347736489877429,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_RT","DKT40  "
"Intercept",2.54353443822317,"Intercept","Superior_frontal_RT","DKT40  "
"MFSq",-0.00894158979804083,"MFSq * [magnetic_field_strength]","Superior_frontal_RT","DKT40  "
"Philips",0.036590921960102,"Philips * P_[modality_manuf_id]","Superior_frontal_RT","DKT40  "
"PHILIPS_X_MFSq",0.0627956510117632,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Superior_frontal_RT","DKT40  "
"RMSE",0.145465253583115,"RMSE","Superior_frontal_RT","DKT40  "
