"name","constant","operant","region","atlas_id"
"eTIVc1",0.000971099680628352,"eTIVc1 * eTIVc","Caudal_anterior_cingulate_LV","DK     "
"eTIVc2",5.58258588417393e-10,"eTIVc2 * pow(eTIVc, 2)","Caudal_anterior_cingulate_LV","DK     "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Caudal_anterior_cingulate_LV","DK     "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Caudal_anterior_cingulate_LV","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Caudal_anterior_cingulate_LV","DK     "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Caudal_anterior_cingulate_LV","DK     "
"GE",-138.109761662151,"GE * G_[modality_manuf_id]","Caudal_anterior_cingulate_LV","DK     "
"GE_X_MFSq",194.762920252687,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_LV","DK     "
"Intercept",1824.61022729728,"Intercept","Caudal_anterior_cingulate_LV","DK     "
"MFSq",-146.160137692463,"MFSq * [magnetic_field_strength]","Caudal_anterior_cingulate_LV","DK     "
"Philips",-81.9840798545049,"Philips * P_[modality_manuf_id]","Caudal_anterior_cingulate_LV","DK     "
"PHILIPS_X_MFSq",143.049737607705,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_LV","DK     "
"RMSE",432.450228350038,"RMSE","Caudal_anterior_cingulate_LV","DK     "
"sexq",-51.2001075769205,"sexq * [gender]","Caudal_anterior_cingulate_LV","DK     "
"Volume",0,"[volume]","Caudal_anterior_cingulate_LV","DK     "
"agec1",-0.464065192116198,"agec1 * agec","Caudal_anterior_cingulate_RS","DK     "
"agec2",-0.00193977323002893,"agec2 * pow(agec, 2)","Caudal_anterior_cingulate_RS","DK     "
"agec3",-0.000580104618867769,"agec3 * pow(agec, 3)","Caudal_anterior_cingulate_RS","DK     "
"AGEc_X_SEXq",0.424065453862527,"AGEc_X_SEXq * agec * [gender]","Caudal_anterior_cingulate_RS","DK     "
"eTIVc1",0.000431890507622856,"eTIVc1 * eTIVc","Caudal_anterior_cingulate_RS","DK     "
"eTIVc2",6.22155097090855e-11,"eTIVc2 * pow(eTIVc, 2)","Caudal_anterior_cingulate_RS","DK     "
"eTIVc3",-4.80973348795614e-16,"eTIVc3 * pow(eTIVc, 3)","Caudal_anterior_cingulate_RS","DK     "
"eTIVc_X_GE",7.79501724585529e-05,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Caudal_anterior_cingulate_RS","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Caudal_anterior_cingulate_RS","DK     "
"eTIVc_X_PHILIPS",-2.41422753109442e-05,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Caudal_anterior_cingulate_RS","DK     "
"GE",-39.6573706130319,"GE * G_[modality_manuf_id]","Caudal_anterior_cingulate_RS","DK     "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_RS","DK     "
"Intercept",793.55962252755,"Intercept","Caudal_anterior_cingulate_RS","DK     "
"MFSq",-16.2330056602256,"MFSq * [magnetic_field_strength]","Caudal_anterior_cingulate_RS","DK     "
"Philips",-28.3372180970585,"Philips * P_[modality_manuf_id]","Caudal_anterior_cingulate_RS","DK     "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Caudal_anterior_cingulate_RS","DK     "
"RMSE",140.386466584212,"RMSE","Caudal_anterior_cingulate_RS","DK     "
"sexq",-0.162564812594328,"sexq * [gender]","Caudal_anterior_cingulate_RS","DK     "
"Volume",0,"[volume]","Caudal_anterior_cingulate_RS","DK     "
"agec1",-0.000491717343563784,"agec1 * agec","Caudal_anterior_cingulate_RT","DK     "
"agec2",0.000128888966146728,"agec2 * pow(agec, 2)","Caudal_anterior_cingulate_RT","DK     "
"agec3",-2.51386511436308e-06,"agec3 * pow(agec, 3)","Caudal_anterior_cingulate_RT","DK     "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Caudal_anterior_cingulate_RT","DK     "
"eTIVc1",-2.88678033460528e-07,"eTIVc1 * eTIVc","Caudal_anterior_cingulate_RT","DK     "
